scope,cabinet,card,contour,group,param,topic
card,22,084,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/084/Контур/LED/Энергия/Прямая_активная_кВтч
card,22,084,HPS,Управление,Включено,/Теплица/Досветка/Карта/084/Контур/HPS/Управление/Включено
card,22,084,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/084/Контур/HPS/Управление/ШИМ
card,22,084,HPS,Мощность,Вт,/Теплица/Досветка/Карта/084/Контур/HPS/Мощность/Вт
card,22,084,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/084/Контур/HPS/Электрика/Ток_L1
card,22,084,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/084/Контур/HPS/Электрика/Ток_L2
card,22,084,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/084/Контур/HPS/Электрика/Ток_L3
card,22,084,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/084/Контур/HPS/Электрика/Коэффициент_мощности
card,22,084,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/084/Контур/HPS/Энергия/Прямая_активная_кВтч
card,22,085,LED,Управление,Включено,/Теплица/Досветка/Карта/085/Контур/LED/Управление/Включено
card,22,085,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/085/Контур/LED/Управление/ШИМ_A
card,22,085,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/085/Контур/LED/Управление/ШИМ_B
card,22,085,LED,Мощность,Вт,/Теплица/Досветка/Карта/085/Контур/LED/Мощность/Вт
card,22,085,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/085/Контур/LED/Электрика/Ток_L1
card,22,085,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/085/Контур/LED/Электрика/Ток_L2
card,22,085,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/085/Контур/LED/Электрика/Ток_L3
card,22,085,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/085/Контур/LED/Электрика/Коэффициент_мощности
card,22,085,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/085/Контур/LED/Энергия/Прямая_активная_кВтч
card,22,085,HPS,Управление,Включено,/Теплица/Досветка/Карта/085/Контур/HPS/Управление/Включено
card,22,085,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/085/Контур/HPS/Управление/ШИМ
